WARNING (------): DXF version not recognised or not release 12-15.
ASCII DXF release 15 is recommended
POLYLINE entity, line 32
WARNING (000042): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000052): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000062): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000072): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000082): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000092): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000102): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000112): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000122): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000132): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000142): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000152): VERTEX entity group 8 unknown/not supported - ignored.
POLYLINE: layer="0", flags=0x01, #pts=13, 0=(0,1545590), 1=(0,1315720), 2=(27940,1315720), 3=(55880,1315720), 4=(55880,1517635), 5=(55880,1719550), 6=(258445,1720200), 7=(461010,1720850), 8=(461731,1748155), 9=(462452,1775460), 10=(231226,1775460), 11=(0,1775460), 12=(0,1545590)
POLYLINE entity, line 162
WARNING (000172): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000182): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000192): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000202): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000212): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000222): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000232): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000242): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000252): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000262): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000272): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000282): VERTEX entity group 8 unknown/not supported - ignored.
POLYLINE: layer="0", flags=0x01, #pts=13, 0=(1407709,1748155), 1=(1408430,1720850), 2=(1613535,1720200), 3=(1818640,1719550), 4=(1818640,1517635), 5=(1818640,1315720), 6=(1846580,1315720), 7=(1874520,1315720), 8=(1874520,1545590), 9=(1874520,1775460), 10=(1640754,1775460), 11=(1406988,1775460), 12=(1407709,1748155)
POLYLINE entity, line 292
WARNING (000302): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000312): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000322): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000332): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000342): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000352): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000362): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000372): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000382): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000392): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000402): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000412): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000422): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000432): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000442): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000452): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000462): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000472): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000482): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000492): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000502): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000512): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000522): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000532): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000542): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000552): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000562): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000572): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000582): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000592): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000602): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000612): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000622): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000632): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000642): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000652): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000662): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000672): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000682): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000692): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000702): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000712): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000722): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000732): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000742): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000752): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000762): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000772): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000782): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000792): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000802): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000812): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000822): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000832): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000842): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000852): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000862): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000872): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000882): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000892): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000902): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000912): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000922): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000932): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000942): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000952): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000962): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000972): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000982): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (000992): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001002): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001012): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001022): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001032): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001042): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001052): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001062): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001072): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001082): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001092): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001102): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001112): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001122): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001132): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001142): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001152): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001162): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001172): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001182): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001192): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001202): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001212): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001222): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001232): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001242): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001252): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001262): VERTEX entity group 8 unknown/not supported - ignored.
